title,release_date,mpaa,runtime,rating,genres,number_reviews,production_budget,opening_weekend,gross,fb_likes
A Serious Man,6-Nov-09,R,106,7,"Comedy,Drama",108882,7000000,251337,9190525,10000
Dragonball: Evolution,10-Apr-09,PG,85,2.6,"Action,Adventure,Fantasy,Sci-Fi,Thriller",59939,30000000,636887.04,9353573,43000
Away We Go,26-Jun-09,R,98,7.1,"Comedy,Drama,Romance",47322,17000000,130411,9430988,71000
Whiteout,11-Sep-09,R,101,5.5,"Action,Crime,Mystery,Thriller",33236,35000000,245366.875,10268846,14000
Mother and Child,2-Jul-10,R,125,7.2,"Drama,Romance",10199,4825000,43040,1110286,32000
Micmacs,11-Jun-10,R,105,7.2,"Action,Comedy,Crime",25779,37260000,51914,1260917,99000
I Hope They Serve Beer in Hell,25-Sep-09,R,105,5.3,Comedy,7587,7000000,366909,1425993,23000
The Girl on the Train,18-Mar-09,Unrated,97,6,Drama,1283,5800000,19154,207323,129
World's Greatest Dad,24-Sep-10,R,99,6.9,"Comedy,Drama",33311,10000000,4675,221210,82000
Black Dynamite,13-Jan-10,R,84,7.4,"Action,Comedy",38007,2900000,131862,228477,11000
Spread,8-Jul-09,R,97,5.9,"Comedy,Drama,Romance",33878,4789000,122948,249590,35000
Blood: The Last Vampire,4-Jun-09,R,91,5.3,"Action,Horror,Thriller",13498,30000000,377308.75,256681,19000
Life During Wartime,16-Apr-10,R,98,6.4,"Comedy,Drama",5818,4500000,30507,278821,12000
The Dark Knight,18-Jul-08,PG-13,152,9,"Action,Crime,Drama,Thriller",1808046,185000000,158411483,533316061,41000
Four Christmases,26-Nov-08,PG-13,88,5.6,"Comedy,Drama,Romance",51676,80000000,3481645.05,120136047,31000
The Curious Case of Benjamin Button,25-Dec-08,PG-13,166,7.8,"Drama,Fantasy,Romance",488844,150000000,26853816,127490802,24000
Get Smart,20-Jun-08,PG-13,110,6.5,"Action,Adventure,Comedy",175023,80000000,38683480,130313314,28000
The Incredible Hulk,13-Jun-08,PG-13,112,6.8,"Action,Adventure,Sci-Fi",345344,150000000,6279685.39,134518390,56000
Wanted,27-Jun-08,R,110,6.7,"Action,Crime,Fantasy,Thriller",314265,75000000,7361126.15,134568845,9000
Slumdog Millionaire,25-Dec-08,R,120,8,Drama,681646,15000000,360018,141319195,14000
The Chronicles of Narnia: Prince Caspian,16-May-08,PG,150,6.6,"Action,Adventure,Family,Fantasy",160582,225000000,55034805,141614023,29000
Mamma Mia!,18-Jul-08,PG-13,108,6.4,"Comedy,Family,Musical,Romance",154878,52000000,12726531.94,143704210,11000
Taken,30-Jan-09,PG-13,93,7.8,"Action,Thriller",505188,25000000,1.941165986,145000989,29000
Gran Torino,9-Jan-09,R,116,8.2,Drama,600673,33000000,271720,148085755,30000
Sex and the City,30-May-08,R,145,5.5,"Comedy,Drama,Romance",103040,65000000,17008494.1,152637269,4000
Horton Hears a Who!,14-Mar-08,G,86,6.9,"Animation,Adventure,Comedy,Family,Fantasy",111898,85000000,45012998,154529187,35000
Quantum of Solace,14-Nov-08,PG-13,106,6.6,"Action,Adventure,Thriller",349910,200000000,23537852.01,168368427,61000
Madagascar: Escape 2 Africa,7-Nov-08,PG,89,6.7,"Animation,Action,Adventure,Comedy,Family",158919,150000000,63106589,179982968,19000
Forgetting Sarah Marshall,18-Apr-08,R,111,7.2,"Comedy,Drama,Romance",227854,30000000,17725330,62877175,58000
The Happening,13-Jun-08,R,91,5,"Sci-Fi,Thriller",172054,48000000,3166186.7,64505912,64000
Role Models,7-Nov-08,R,99,6.9,Comedy,200764,28000000,19167085,67266300,38000
